title,author,journal,number,cites,year,cid,pubid,complete_authors_fetched
Continental-scale temperature variability during the past two millennia,PAGES2 Consortium,Nature geoscience,"6 (5), 339-346",1089,2013,"40,567,093,844,934,400,000,000,000,000,000,000,000",ufrVoPGSRksC,TRUE
Recent warming reverses long-term Arctic cooling,"DS Kaufman, DP Schneider, NP McKay, CM Ammann, RS Bradley, KR Briffa, GH Miller, BL Otto-Bliesner, JT Overpeck, BM Vinther, AL2P Members, M Abbott, Y Axford, B Bird, HJB Birks, AE Bjune, J Briner, T Cook, M Chipman, P Francus, K Gajewski, A Geirsdottir, FS Hu, B Kutchko, S Lamoureux, M Loso, G MacDonald, M Peros, D Porinchu, C Schiff, H Seppä, E Thomas",Science,"325 (5945), 1236-1239",761,2009,"20,774,792,854,144,100,000,000,000,000,000,000,000",u5HHmVD_uO8C,TRUE
The time-transgressive termination of the African Humid Period,"TM Shanahan, NP McKay, KA Hughen, JT Overpeck, B Otto-Bliesner, CW Heil, J King, CA Scholz, J Peck",Nature Geoscience,"8 (2), 140-144",489,2015,1.01051E+19,FiDNX6EVdGUC,TRUE
Early onset of industrial-era warming across the oceans and continents,"NJ Abram, HV McGregor, JE Tierney, MN Evans, NP McKay, DS Kaufman",Nature,"536 (7617), 411-418",450,2016,"21,419,515,246,312,800,000,000,000,000,000,000,000",HJSXoJQnj-YC,TRUE
A global multiproxy database for temperature reconstructions of the Common Era,PAGES2 Consortium,Scientific data,"4, 170088",395,2017,1.34447E+19,jSAVyFp_754C,TRUE
Consistent multidecadal variability in global temperature reconstructions and simulations over the Common Era,2019/8,Nature geoscience,"12 (8), 643-649",380,2019,6.80512E+18,A8cqit5AE6sC,TRUE
"Holocene global mean surface temperature, a multi-method reconstruction approach","D Kaufman, N McKay, C Routson, M Erb, C Dätwyler, PS Sommer, O Heiri, B Davis",Scientific data,"7 (1), 201",360,2020,1.33901E+19,t-hv7AR41mYC,TRUE
A global database of Holocene paleotemperature records,"D Kaufman, N McKay, C Routson, M Erb, B Davis, O Heiri, S Jaccard, J Tierney, C Dätwyler, Y Axford, T Brussel, O Cartapanis, B Chase, A Dawson, AD Vernal, S Engels, L Jonkers, J Marsicek, P Moffa-Sánchez, C Morrill, A Orsi, K Rehfeld, K Saunders, PS Sommer, E Thomas, M Tonello, Món Tóth, R Vachula, A Andreev, S Bertrand, B Biskaborn, M Bringué, S Brooks, M Caniupán, M Chevalier, L Cwynar, J Emile-Geay, J Fegyveresi, A Feurdean, W Finsinger, M-C Fortin, L Foster, M Fox, K Gajewski, M Grosjean, S Hausmann, M Heinrichs, N Holmes, B Ilyashuk, E Ilyashuk, S Juggins, D Khider, K Koinig, P Langdon, I Larocque-Tobler, J Li, Aé Lotter, T Luoto, A Mackay, E Magyari, S Malevich, B Mark, J Massaferro, V Montade, L Nazarova, E Novenko, P Pařil, E Pearson, M Peros, R Pienitz, M Płóciennik, D Porinchu, A Potito, A Rees, S Reinemann, S Roberts, N Rolland, S Salonen, A Self, H Seppä, S Shala, J-M St-Jacques, B Stenni, L Syrykh, P Tarrats, K Taylor, Vvd Bos, G Velle, E Wahl, I Walker, J Wilmshurst, E Zhang, S Zhilich",Scientific data,"7 (1), 115",290,2020,1.19294E+19,hvmnpdAuIbkC,TRUE
Mid-latitude net precipitation decreased with Arctic warming during the Holocene,"CC Routson, NP McKay, DS Kaufman, MP Erb, H Goosse, BN Shuman, JR Rodysill, T Ault",Nature,"568 (7750), 83-87",254,2019,1.65723E+19,T_ojBgVMvoEC,TRUE
Holocene climate change in Arctic Canada and Greenland,"JP Briner, NP McKay, Y Axford, O Bennike, RS Bradley, Ad Vernal, D Fisher, P Francus, B Fréchette, K Gajewski, A Jennings, DS Kaufman, G Miller, C Rouston, B Wagner",Quaternary Science Reviews,"147, 340-364",253,2016,1.25264E+19,An6A6Jpfc1oC,TRUE
Glacier fluctuations during the past 2000 years,"BYON. Solomina, RS. Bradley, V Jomelli, A Geirsdottir, DS. Kaufman, J Koch, NP. McKay, M Masiokas, G Miller, A Nesje, j, K Nicolussi, LA. Owen, AE. Putnam, H Wanner, G Wiles",Quaternary Science Reviews,"149, 61-90",251,2016,6.38721E+17,DrR-2ekChdkC,TRUE
The role of ocean thermal expansion in Last Interglacial sea level rise,"NP McKay, JT Overpeck, BL Otto‐Bliesner",Geophysical Research Letters,38 (14),229,2011,5.81609E+18,9yKSN-GCB0IC,TRUE
How warm was the last interglacial? New model–data comparisons,"BL Otto-Bliesner, N Rosenbloom, EJ Stone, NP McKay, DJ Lunt, EC Brady, JT Overpeck","Philosophical Transactions of the Royal Society A: Mathematical, Physical …",,205,2013,3.92252E+18,Se3iqnhoufwC,TRUE
Large-scale features and evaluation of the PMIP4-CMIP6 midHolocene simulations,"CM Brierley, A Zhao, SP Harrison, P Braconnot, CJR Williams, DJR Thornalley, X Shi, J-Y Peterschmitt, R Ohgaito, DS Kaufman, M Kageyama, JC Hargreaves, MP Erb, J Emile-Geay, R d'Agostino, D Chandan, M Carré, P Bartlein, W Zheng, Z Zhang, Q Zhang, H Yang, EM Volodin, RA Tomas, C Routson, WR Peltier, B Otto-Bliesner, PA Morozova, NP McKay, G Lohmann, AN Legrande, C Guo, J Cao, E Brady, JD Annan, A Abe-Ouchi",Climate of the Past Discussions,"2020, 1-35",188,2020,1.22043E+19,KWzIFqRkAKkC,TRUE
Holocene climate changes in eastern Beringia (NW North America)–A systematic review of multi-proxy evidence,"DS Kaufman, YL Axford, ACG Henderson, NP McKay, WW Oswald, C Saenger, RS Anderson, HL Bailey, B Clegg, K Gajewski, FS Hu, MC Jones, C Massa, CC Routson, A Werner, MJ Wooller, Z Yu",Quaternary Science Reviews,"147, 312-339",185,2016,6.53488E+17,BrOSOlqYqPUC,TRUE
Arctic Holocene proxy climate database–new approaches to assessing geochronological accuracy and encoding climate variables,"HS Sundqvist, DS Kaufman, NP McKay, NL Balascio, JP Briner, LC Cwynar, HP Sejrup, H Seppä, DA Subetto, JT Andrews, Y Axford, J Bakke, HJB Birks, SJ Brooks, AD Vernal, AE Jennings, FC Ljungqvist, KM Rühland, C Saenger, JP Smol, AE Viau",Climate of the Past,"10 (4), 1605-1631",158,2014,9.08315E+18,0EnyYjriUFMC,TRUE
"An extended Arctic proxy temperature database for the past 2,000 years","NP McKay, DS Kaufman",Scientific data,"1 (1), 1-10",158,2014,9.48048E+18,KNjnJ3z-R6IC,TRUE
